station,lat,lon,zone
Nunhead,51.46657998,-0.053679743,2
Oakleigh Park,51.63767636,-0.166194967,4
Oakwood,51.64763796,-0.13185354,5
Ockendon,51.52198965,0.290483475,7
Old Street,51.52558147,-0.087622958,1
Orpington,51.37352005,0.089028901,6
Osterley,51.48121681,-0.352096096,4
Oval,51.4814126,-0.113321076,2
Oxford Circus,51.5152234,-0.140836171,1
Paddington,51.51539379,-0.175736752,1
Palmers Green,51.61878675,-0.1102725,4
Park Royal,51.52683402,-0.284928918,3
Parsons Green,51.47496015,-0.201124492,2
Peckham Rye,51.46951136,-0.069983553,2
Penge East,51.41997535,-0.054495265,4
Penge West,51.41806293,-0.060645765,4
Perivale,51.53634182,-0.323070422,4
Petts Wood,51.38859899,0.07448003,5
Phipps Bridge,51.40337673,-0.182296789,"3,4,5,6"
Piccadilly Circus,51.50969675,-0.133711597,1
Pimlico,51.48955286,-0.133108258,1
Pinner,51.59236168,-0.38122379,5
Plaistow,51.53128834,0.017780642,3
Plumstead,51.48979242,0.084299617,4
Ponders End,51.64273069,-0.034525105,5
Pontoon Dock,51.50221622,0.033325707,3
Poplar,51.50758807,-0.017275493,2
Preston Road,51.57210373,-0.294972013,4
Prince Regent DLR,51.50943455,0.033488574,3
Pudding Mill Lane,51.53432785,-0.012768512,"2,3"
Purfleet,51.48117301,0.236774836,7
Purley,51.33736355,-0.113613518,6
Purley Oaks,51.34698934,-0.098815333,6
Putney,51.46095253,-0.216603374,"2,3"
Putney Bridge,51.46786534,-0.209365417,2
Queens Park,51.53431265,-0.204798149,2
Queens Road Peckham,51.47428471,-0.057354979,2
Queensbury,51.59388298,-0.286331597,4
Queenstown Road,51.47495913,-0.147355312,2
Queensway,51.51044923,-0.187419903,1
Radlett,51.68541327,-0.317987634,
Rainham,51.51734052,0.190691975,6
Ravensbourne,51.41387038,-0.006937816,4
Ravenscourt Park,51.49406798,-0.235969233,2
Rayners Lane,51.57539673,-0.371060814,5
Raynes Park,51.40937535,-0.229912939,4
